time,u,x_true,c_true,y
2.17,0.5805812871427325,0.12527663200053019,1.0,0.12290844593313009
2.18,0.5782747333674405,0.1257319366556724,1.0,0.12087830117738135
2.19,0.5759558191043603,0.12618447945238417,1.0,0.1270032208462474
2.2,0.5736249105369355,0.12663425079203616,1.0,0.14978083645877124
2.21,0.5712823757426502,0.12708124145178107,1.0,0.10840858952586359
2.22,0.5689285846349034,0.12752544258607193,1.0,0.13438804448981706
2.23,0.5665639089045974,0.12796684572812075,1.0,0.11183968701622424
2.24,0.5641887219614419,0.12840544279129723,1.0,0.1236861241334029
2.25,0.5618033988749895,0.12884122607046739,1.0,0.13973073204014105
2.2600000000000002,0.559408316315407,0.12927418824327191,1.0,0.12991698843422655
2.27,0.5570038524939952,0.12970432237134405,1.0,0.118926874592051
2.2800000000000002,0.554590387103465,0.1301316219014667,1.0,0.12297858480886703
2.29,0.5521683012579794,0.1305560806666687,1.0,0.13735205815601548
2.3000000000000003,0.5497379774329709,0.13097769288726002,1.0,0.12367402657008865
2.31,0.5472997994047449,0.13139645317180573,1.0,0.13356103906762548
2.32,0.5448541521898763,0.13181235651803866,1.0,0.1322680749170768
2.33,0.542401421984411,0.1322253983137105,1.0,0.1257093948376523
2.34,0.5399419961028815,0.13263557433738118,1.0,0.15407501523063444
2.35,0.5374762629171449,0.1330428807591467,1.0,0.1393820709823268
2.36,0.5350046117950553,0.1334473141413047,1.0,0.11319588827472862
2.37,0.5325274330389768,0.13384887143895846,1.0,0.13571341458665273
2.38,0.5300451178241514,0.1342475500005585,1.0,0.1276296853528746
2.39,0.5275580581369276,0.1346433475683821,1.0,0.14316768091634433
2.4,0.5250666467128609,0.13503626227895063,1.0,0.12711105489462363
2.41,0.5225712769746963,0.13542629266338455,1.0,0.13427892824871557
2.42,0.520072342970243,0.13581343764769585,1.0,0.14086331043750042
2.43,0.5175702393101487,0.1361976965530184,1.0,0.1448552484947196
2.44,0.5150653611055866,0.13657906909577552,1.0,0.12457610502521776
2.45,0.5125581039058626,0.13695755538778534,1.0,0.13361254302937586
2.46,0.5100488636359539,0.1373331559363034,1.0,0.13258370282469384
2.47,0.5075380365339869,0.13770587164400305,1.0,0.13117257931826592
2.48,0.5050260190886675,0.13807570380889303,1.0,0.155730246211704
2.49,0.5025132079766704,0.1384426541241728,1.0,0.14249247123378236
2.5,0.5,0.1388067246780253,1.0,0.12619788513467484
2.5100000000000002,0.49748679202332946,0.13916791795334726,1.0,0.14834653742389503
2.52,0.4949739809113325,0.13952623682741724,1.0,0.16074779879754358
2.5300000000000002,0.49246196346601306,0.13988168457150116,1.0,0.15020633717701262
2.54,0.48995113636404614,0.14023426485039567,1.0,0.12504056519085555
2.5500000000000003,0.48744189609413724,0.1405839817219093,1.0,0.1357416409932468
2.56,0.48493463889441346,0.14093083963628153,1.0,0.15359995112814775
2.57,0.48242976068985144,0.14127484343553967,1.0,0.13419814877935185
2.58,0.47992765702975704,0.14161599835279398,1.0,0.14605419263425626
2.59,0.47742872302530376,0.14195431001147094,1.0,0.1497006505457643
2.6,0.47493335328713915,0.14228978442448476,1.0,0.13302047970870393
2.61,0.4724419418630724,0.1426224279933474,1.0,0.1420271744327294
2.62,0.46995488217584863,0.14295224750721713,1.0,0.1105395741065264
2.63,0.4674725669610233,0.14327925014188578,1.0,0.13303537372854288
2.64,0.4649953882049448,0.1436034434587049,1.0,0.1410777619447733
2.65,0.46252373708285516,0.14392483540345113,1.0,0.13144700358380265
2.66,0.46005800389711854,0.14424343430513054,1.0,0.1605675473444469
2.67,0.4575985780155891,0.14455924887472252,1.0,0.13025783509511618
2.68,0.45514584781012374,0.1448722882038634,1.0,0.14047184333689355
2.69,0.4527002005952551,0.14518256176346964,1.0,0.14648996753633056
2.7,0.45026202256702896,0.1454900794023014,1.0,0.15990281229296258
2.71,0.4478316987420206,0.14579485134546613,1.0,0.13143622983367173
2.72,0.44540961289653497,0.14609688819286268,1.0,0.15772852571441226
2.73,0.44299614750600486,0.14639620091756636,1.0,0.14649853152776224
2.74,0.440591683684593,0.1466928008641548,1.0,0.13687771435367527
2.75,0.4381966011250105,0.14698669974697523,1.0,0.15160773448960793
2.7600000000000002,0.4358112780385581,0.14727790964835327,1.0,0.14926850660408797
2.77,0.43343609109540265,0.1475664430167435,1.0,0.14156427424515555
2.7800000000000002,0.4310714153650965,0.14785231266482216,1.0,0.14855033351472235
2.79,0.4287176242573499,0.14813553176752242,1.0,0.1442823957989048
2.8000000000000003,0.42637508946306435,0.14841611386001224,1.0,0.14955128731252473
